      Date,    Flow_cfs
1/2/2011,2.3
1/3/2011,2.4
1/4/2011,2.3
1/5/2011,2.2
1/6/2011,2.1
1/7/2011,2.1
1/8/2011,2.1
1/9/2011,2
1/10/2011,2
1/11/2011,1.5
1/12/2011,2
1/13/2011,2
1/14/2011,2
1/15/2011,2
1/16/2011,2.3
1/17/2011,4.1
1/18/2011,4.2
1/19/2011,4
1/20/2011,3.7
1/21/2011,3.4
1/22/2011,3.3
1/23/2011,3.4
1/24/2011,3.1
1/25/2011,3
1/26/2011,2.8
1/27/2011,2.9
1/28/2011,2.7
1/29/2011,2.8
1/30/2011,2.7
1/31/2011,2.7
2/1/2011,2.7
2/2/2011,2.7
2/3/2011,2.5
2/4/2011,2.8
2/5/2011,2.6
2/6/2011,2.5
2/7/2011,2.5
2/8/2011,2.4
2/9/2011,2.4
2/10/2011,2.3
2/11/2011,2.3
2/12/2011,2.3
2/13/2011,2.3
2/14/2011,2.3
2/15/2011,2.3
2/16/2011,2.4
2/17/2011,2.7
2/18/2011,2.6
2/19/2011,2.7
2/20/2011,2.5
2/21/2011,2.8
2/22/2011,2.7
2/23/2011,2.7
2/24/2011,2.7
2/25/2011,2.9
2/26/2011,2.8
2/27/2011,2.7
2/28/2011,3.2
3/1/2011,2.7
3/2/2011,2.8
3/3/2011,2.9
3/4/2011,2.9
3/5/2011,3.1
3/6/2011,3.6
3/7/2011,3.8
3/8/2011,3.9
3/9/2011,4
3/10/2011,4.5
3/11/2011,6.4
3/12/2011,7.5
3/13/2011,8
3/14/2011,8.2
3/15/2011,8.3
3/16/2011,11
3/17/2011,15
3/18/2011,11
3/19/2011,9.7
3/20/2011,8.8
3/21/2011,8.2
3/22/2011,7.8
3/23/2011,7.5
3/24/2011,7.4
3/25/2011,7.2
3/26/2011,6.9
3/27/2011,7
3/28/2011,6.9
3/29/2011,6.7
3/30/2011,6.7
3/31/2011,7.1
4/1/2011,8.6
4/2/2011,12
4/3/2011,16
4/4/2011,14
4/5/2011,13
4/6/2011,13
4/7/2011,14
4/8/2011,14
4/9/2011,13
4/10/2011,12
4/11/2011,12
4/12/2011,14
4/13/2011,15
4/14/2011,16
4/15/2011,16
4/16/2011,17
4/17/2011,20
4/18/2011,31
4/19/2011,36
4/20/2011,30
4/21/2011,28
4/22/2011,26
4/23/2011,25
4/24/2011,24
4/25/2011,24
4/26/2011,23
4/27/2011,22
4/28/2011,22
4/29/2011,22
4/30/2011,21
5/1/2011,20
5/2/2011,20
5/3/2011,20
5/4/2011,21
5/5/2011,22
5/6/2011,25
5/7/2011,31
5/8/2011,39
5/9/2011,41
5/10/2011,36
5/11/2011,34
5/12/2011,33
5/13/2011,36
5/14/2011,41
5/15/2011,44
5/16/2011,46
5/17/2011,42
5/18/2011,38
5/19/2011,36
5/20/2011,44
5/21/2011,44
5/22/2011,43
5/23/2011,44
5/24/2011,52
5/25/2011,47
5/26/2011,45
5/27/2011,43
5/28/2011,42
5/29/2011,44
5/30/2011,44
5/31/2011,42
6/1/2011,40
6/2/2011,39
6/3/2011,38
6/4/2011,36
6/5/2011,35
6/6/2011,34
6/7/2011,31
6/8/2011,30
6/9/2011,29
6/10/2011,27
6/11/2011,26
6/12/2011,25
6/13/2011,25
6/14/2011,24
6/15/2011,23
6/16/2011,22
6/17/2011,21
6/18/2011,21
6/19/2011,22
6/20/2011,20
6/21/2011,19
6/22/2011,18
6/23/2011,17
6/24/2011,16
6/25/2011,16
6/26/2011,15
6/27/2011,14
6/28/2011,14
6/29/2011,13
6/30/2011,13
7/1/2011,12
7/2/2011,12
7/3/2011,11
7/4/2011,11
7/5/2011,11
7/6/2011,10
7/7/2011,10
7/8/2011,9.8
7/9/2011,9.5
7/10/2011,9.5
7/11/2011,9.1
7/12/2011,8.9
7/13/2011,8.5
7/14/2011,8.2
7/15/2011,7.9
7/16/2011,7.7
7/17/2011,7.4
7/18/2011,7.3
7/19/2011,7.3
7/20/2011,7.1
7/21/2011,6.9
7/22/2011,6.9
7/23/2011,6.9
7/24/2011,6.7
7/25/2011,6.6
7/26/2011,6.6
7/27/2011,6.5
7/28/2011,6.3
7/29/2011,6.2
7/30/2011,6
7/31/2011,6
8/1/2011,6.9
8/2/2011,6.6
8/3/2011,6.4
8/4/2011,6.1
8/5/2011,5.9
8/6/2011,5.7
8/7/2011,5.5
8/8/2011,5.4
8/9/2011,5.2
8/10/2011,5.1
8/11/2011,4.9
8/12/2011,4.8
8/13/2011,4.7
8/14/2011,4.6
8/15/2011,4.7
8/16/2011,4.5
8/17/2011,4.4
8/18/2011,4.3
8/19/2011,4.2
8/20/2011,4.2
8/21/2011,4.1
8/22/2011,4
8/23/2011,3.9
8/24/2011,3.8
8/25/2011,3.9
8/26/2011,3.9
8/27/2011,3.8
8/28/2011,3.9
8/29/2011,3.9
8/30/2011,3.7
8/31/2011,3.6
9/1/2011,3.6
9/2/2011,3.6
9/3/2011,3.5
9/4/2011,3.4
9/5/2011,3.4
9/6/2011,3.3
9/7/2011,3.3
9/8/2011,3.2
9/9/2011,3.1
9/10/2011,3.3
9/11/2011,3.2
9/12/2011,3.1
9/13/2011,3
9/14/2011,3
9/15/2011,3
9/16/2011,3.1
9/17/2011,3.1
9/18/2011,3
9/19/2011,2.9
9/20/2011,2.8
9/21/2011,2.8
9/22/2011,2.7
9/23/2011,2.7
9/24/2011,2.6
9/25/2011,2.5
9/26/2011,2.5
9/27/2011,2.4
9/28/2011,2.4
9/29/2011,2.4
9/30/2011,2.4
,
